"ID";"Instalaciones";"Tipo";"Madera";"Paquete";"Cubico";
"162";"Taller viejo";"0.50";"Castaño";"";"6,500";
"161";"Taller viejo";"0.60";"Castaño";"";"6,288";
"156";"Taller viejo";"1.00";"Castaño";"";"40,934";
"69";"Taller viejo";"0.50";"RC";"252";"252,391";
"41";"Taller viejo";"1.15";"RC";"";"1,932";
"45";"Taller viejo";"1.00";"RC";"528";"672,673";
"49";"Taller viejo";"0.95";"RC";"";"183,502";
"53";"Taller viejo";"0.85";"RC";"";"232,360";
"57";"Taller viejo";"0.80";"RC";"";"58,869";
"61";"Taller viejo";"0.70";"RC";"";"431,550";
"65";"Taller viejo";"0.60";"RC";"320";"321,187";
"1";"Taller nuevo";"1.30";"RC";"666";"1.857,217";
"153";"Taller nuevo";"0.50";"Castaño";"";"6,751";
"147";"Taller nuevo";"1.00";"Castaño";"";"22,056";
"152";"Taller nuevo";"0.60";"Castaño";"";"12,692";
"11";"Taller nuevo";"1.00";"RA";"";"2,723";
"10";"Taller nuevo";"1.00";"RP";"";"18,816";
"9";"Taller nuevo";"1.00";"RC";"";"68,540";
"7";"Taller nuevo";"1.15";"RA";"";"4,358";
"5";"Taller nuevo";"1.15";"RC";"";"657,864";
"17";"Taller nuevo";"0.85";"RC";"";"10,780";
"105";"Sta Lucia";"0.50";"RC";"";"9,238";
"107";"Sta Lucia";"0.50";"RA";"";"38,398";
"108";"Sta Lucia";"0.50";"RB";"";"63,451";
"204";"Sta Lucia";"0.60";"RCPalillos";"";"3,206";
"203";"Sta Lucia";"0.70";"RCPalillos";"";"3,730";
"200";"Sta Lucia";"1.00";"RCPalillos";"";"8,539";
"201";"Sta Lucia";"0.85";"RCPalillos";"";"2,280";
"205";"Sta Lucia";"0.50";"RCPalillos";"";"7,491";
"199";"Sta Lucia";"1.15";"RCPalillos";"";"5,462";
"198";"Sta Lucia";"1.30";"RCPalillos";"";"34,502";
"104";"Sta Lucia";"0.60";"RB";"";"61,911";
"202";"Sta Lucia";"0.80";"RCPalillos";"";"2,280";
"103";"Sta Lucia";"0.60";"RA";"";"73,942";
"93";"Sta Lucia";"0.80";"RC";"";"1,048";
"100";"Sta Lucia";"0.70";"RB";"";"38,459";
"73";"Sta Lucia";"1.30";"RC";"";"457,049";
"75";"Sta Lucia";"1.30";"RA";"";"26,263";
"76";"Sta Lucia";"1.30";"RB";"";"150,723";
"77";"Sta Lucia";"1.15";"RC";"";"222,701";
"79";"Sta Lucia";"1.15";"RA";"";"278,065";
"80";"Sta Lucia";"1.15";"RB";"";"375,056";
"81";"Sta Lucia";"1.00";"RC";"";"42,840";
"83";"Sta Lucia";"1.00";"RA";"";"183,645";
"101";"Sta Lucia";"0.60";"RC";"";"14,354";
"84";"Sta Lucia";"1.00";"RB";"";"103,170";
"88";"Sta Lucia";"0.95";"RB";"";"6,462";
"89";"Sta Lucia";"0.85";"RC";"";"17,794";
"92";"Sta Lucia";"0.85";"RB";"";"20,044";
"95";"Sta Lucia";"0.80";"RA";"";"50,862";
"96";"Sta Lucia";"0.80";"RB";"";"7,704";
"97";"Sta Lucia";"0.70";"RC";"";"18,734";
"99";"Sta Lucia";"0.70";"RA";"";"18,064";
"85";"Sta Lucia";"0.95";"RC";"";"8,979";
"141";"Paez Morilla";"0.50";"RC";"";"51,048";
"142";"Paez Morilla";"0.50";"RP";"";"3,168";
"139";"Paez Morilla";"0.60";"RA";"";"12,499";
"117";"Paez Morilla";"1.00";"RC";"";"119,100";
"137";"Paez Morilla";"0.60";"RC";"";"47,266";
"138";"Paez Morilla";"0.60";"RP";"";"2,424";
"119";"Paez Morilla";"1.00";"RA";"";"26,856";
"118";"Paez Morilla";"1.00";"RP";"";"36,685";
"116";"Paez Morilla";"1.15";"RB";"";"52,800";
"113";"Paez Morilla";"1.15";"RC";"";"42,601";
"111";"Paez Morilla";"1.30";"RA";"";"52,080";
"109";"Paez Morilla";"1.30";"RC";"";"478,111";
"110";"Paez Morilla";"1.30";"RP";"";"76,124";
"122";"Paez Morilla";"0.95";"RP";"";"0,878";
"125";"Paez Morilla";"0.85";"RC";"";"32,870";
"126";"Paez Morilla";"0.85";"RP";"";"2,355";
"129";"Paez Morilla";"0.80";"RC";"";"17,306";
"133";"Paez Morilla";"0.70";"RC";"";"64,949";
"134";"Paez Morilla";"0.70";"RP";"";"2,826";
"121";"Paez Morilla";"0.95";"RC";"";"34,027";
"195";"";"0.50";"RB";"";"9,145";
"197";"";"0.50";"RC";"";"52,640";
"196";"";"0.50";"RP";"";"19,740";
"194";"";"0.60";"RC";"";"32,356";
"190";"";"0.70";"RC";"";"70,500";
"192";"";"0.60";"RB";"";"13,945";
"191";"";"0.70";"RP";"";"4,910";
"189";"";"0.80";"RB";"";"3,744";
"188";"";"0.80";"RC";"";"13,909";
"187";"";"0.85";"RC";"";"119,888";
"186";"";"0.95";"RC";"";"3,574";
"185";"";"1.00";"RC";"";"8,920";
"184";"";"1.15";"RP";"";"24,640";
"183";"";"1.15";"RC";"";"49,190";
"182";"";"1.30";"Castaño";"";"1,566";
"193";"";"0.60";"RP";"";"7,520";
"206";"";"1.30";"RCPalillos";"";"8,000";
